country,x,y
Albania,-0.533489232518284,0.157052699651172
Algeria,-0.868321434253793,-0.283706229694584
Andorra,2.42805975186291,0.251225274327279
Azerbaijan,-0.76363340765293,-0.167296306416771
Argentina,0.627506395813807,-0.320123473050123
Australia,2.47425197913858,-0.40310654107989
Austria,1.83050520232772,0.230906038823846
Bangladesh,-0.85528585691159,-1.11107463690094
Armenia,-0.780988677962408,-0.297261875166407
Belgium,1.84656820997246,-0.123709141816506
Bolivia,-0.491226965471248,-0.892924417603018
Bosnia Herzegovina,-0.350873752790966,0.378663460201368
Brazil,-0.036639146527267,-0.37645307565277
Bulgaria,0.102375272485014,1.1068098100644
Myanmar,-1.04973778886766,-0.435016452775785
Belarus,-0.00386894760703124,0.463454236379061
Canada,2.25889562272122,-0.345999877641946
Chile,0.269020318006045,-0.0879810276274666
China,0.393785448002962,0.769015350827346
Taiwan ROC,0.266817484943705,1.5512811153428
Colombia,-0.149032526541798,-1.52040750319444
Croatia,0.457642030047098,0.172492032491899
Cyprus,-0.219357785931056,-0.186042941291547
Northern Cyprus,-0.417202693621295,0.155042574193886
Czechia,1.4604549678118,1.00657858650321
Denmark,3.35782139737216,0.0363781405636166
Ecuador,-0.386523119564536,-1.49956651866611
Ethiopia,-0.833093851840773,-0.519441901354249
Estonia,0.655693725984248,1.08855947451927
Finland,2.38849498410321,0.258339357854067
France,2.08341339796152,0.070365474625003
Georgia,-1.04634953693888,-0.280297650397947
Palestine,-1.2777732186693,-0.365165523372352
Germany,2.09401537619768,0.906582939663902
Ghana,-1.06590215207584,-1.45123288213892
Greece,0.1650333289805,0.363786284958539
Guatemala,-0.303337781089016,-1.032716374268
Haiti,0.089216424113789,-0.691585605415104
Hong Kong SAR,0.880864088992466,1.34060429995881
Hungary,0.432516639496075,0.772836067647321
Iceland,3.01376288238542,-0.291198587044094
India,-0.35478775034679,-0.279875954605152
Indonesia,-1.00523279025376,-0.234365136004805
Iran,-0.785232580868662,-0.0629948062246964
Iraq,-1.23482640151449,-0.27155868828061
Ireland,1.03563088150052,-1.13824343510276
Italy,0.986084748564526,0.103256385509344
Japan,1.68964047341134,1.67878274786488
Kazakhstan,-0.348485165277203,0.0862537642164093
Jordan,-1.41668410113207,-1.03650180501651
Kenya,-0.275605978835347,-0.65832884285761
South Korea,0.393940532769498,1.36781310315657
Kyrgyzstan,-0.644161850770752,-0.604924248615059
Lebanon,-0.722696012542078,0.133555091026127
Latvia,0.409680684855432,0.996195507918063
Libya,-1.25323591017671,-1.1823371268913
Lithuania,0.197886276503704,1.15366798322214
Luxembourg,1.93868677381881,0.0802533798095609
Macau SAR,0.936077038355765,1.36399627488183
Malaysia,-0.365352157254262,-0.20024930119647
Maldives,-0.763423625694807,-1.01707795336243
Mali,-0.23128902416449,-1.22601108156571
Malta,-0.0656681604999264,-1.19885698183908
Mexico,0.229353753407787,-1.29078581862784
Mongolia,0.704132873538385,0.936881116217266
Moldova,-1.05237553986166,1.13422376844979
Montenegro,-0.0137042293387491,0.157071912687699
Morocco,-1.0102508484555,-0.194755310206389
Netherlands,2.65548321022539,0.0905741167056012
New Zealand,2.77471600847043,-0.445781060527091
Nicaragua,-0.641978415120346,-1.37588133436311
Nigeria,-1.03418587954123,-0.842577514427125
Norway,3.25348958780292,0.212344903812004
Pakistan,-0.795059481362811,-0.769362796971079
Peru,-0.464928159487791,-0.688467188353525
Philippines,-0.14664639631232,-1.14366248859732
Poland,0.173755494722048,-0.286517869625818
Portugal,0.246783459717645,-0.214777016108837
Puerto Rico,0.361150955705027,-1.4867024298433
Romania,-0.830643160223841,0.280013325812791
Russia,-0.220216791137005,0.730842381299864
Rwanda,-0.920061170076876,-0.806429790399147
Serbia,0.121873868872745,0.596781199859336
Singapore,0.210085145860666,0.272867525538387
Slovakia,0.66439153445843,0.472356436615662
Vietnam,0.512571383408277,-0.497277311018744
Slovenia,1.5189614446686,0.607340730379851
South Africa,0.317121402306344,-0.167528533815574
Zimbabwe,-1.28754233327549,-0.375921837665198
Spain,1.45158295101913,0.113066702752217
Sweden,3.58531640047705,0.632362227613368
Switzerland,2.54495919118461,0.0307592006539243
Thailand,0.132257348846179,-0.0163569672150617
Trinidad and Tobago,-0.598587166111406,-1.50491734553591
Tunisia,-1.33839453430181,-0.185055237699137
Turkey,-0.808989717469811,-0.208741727420241
Ukraine,-0.427334467540783,0.79579999739597
North Macedonia,0.289888096766044,0.428103769206006
Great Britain,2.35234662421196,-0.212088421142391
United States,1.5060357286509,-0.425124640612863
Burkina Faso,-0.846677309335506,-0.84905169996018
Uruguay,1.18396462779697,-0.434008146379031
Venezuela,-0.279870248477876,-0.812180769279454
Yemen,-1.23646360119624,-0.931999528798192
Zambia,-0.73672684851598,-0.0601859063725092
North Ireland,1.22865590567051,-0.401845019497813
Kosovo,-0.462878573975549,-0.877244543498159
